Customer_ID,Customer_Name,Age,Gender,Account_Type,Balance,Transaction_Date,Transaction_Type,Transaction_Amount,Loan_Status
CUST1055,Lori Sutton,58,Male,Loan,73131.84,28-10-2024,Credit,8713.46,Active
CUST1083,Rachel Ayala,20,Male,Savings,68824.5,05-05-2024,Credit,12915.76,
CUST1082,Adrienne West,22,Male,Savings,98573.98,12-08-2024,Credit,13412.67,
CUST1018,Brooke French,47,Male,Savings,62041.63,22-10-2024,Credit,7333.53,
CUST1067,Kelly Murphy,41,Female,Fixed Deposit,17198.02,29-07-2025,Debit,13357.83,
CUST1014,Carmen Patterson,18,Male,Savings,39633.39,07-06-2025,Debit,12676.79,
CUST1080,Tammy Wallace,19,Female,Savings,43897.65,22-06-2024,Debit,11979.96,
CUST1067,Kelly Murphy,41,Female,Current,96233.56,06-01-2024,Debit,2959.93,
CUST1072,Zachary Villanueva,49,Male,Loan,84372.91,20-05-2024,Debit,17052.82,Default
CUST1060,Alan Delgado,50,Male,Current,30328.11,20-02-2024,Credit,9212.62,
CUST1100,Matthew Howe,19,Male,Fixed Deposit,79166.79,28-11-2023,Credit,13130.42,
CUST1032,Christine Brown,39,Male,Loan,62048.09,23-09-2024,Debit,7493.22,Default
CUST1023,Sean Edwards,56,Male,Savings,7749.5,25-05-2024,Debit,12649.9,
CUST1019,Pamela Kelly,31,Female,Savings,15516.82,06-05-2024,Credit,19008.71,
CUST1041,Leonard Craig,35,Male,Fixed Deposit,67847.5,29-02-2024,Debit,3498.51,
CUST1027,Calvin Simmons,50,Male,Savings,84624.57,30-06-2025,Debit,18288.48,
CUST1051,Wendy Lowery,36,Female,Loan,76300.93,04-10-2024,Credit,13659.83,Active
CUST1012,Shannon Garcia,46,Female,Fixed Deposit,48290.92,01-10-2023,Credit,14235.91,
CUST1045,Ronald Jones,64,Female,Current,26850.46,10-01-2024,Debit,5685.01,
CUST1080,Tammy Wallace,19,Female,Fixed Deposit,33245.29,01-10-2023,Debit,7400.17,
CUST1075,Taylor Ortiz,21,Female,Loan,90115.56,20-08-2024,Debit,9798.57,Closed
CUST1100,Matthew Howe,19,Male,Current,20146.77,05-10-2024,Debit,4708.58,
CUST1030,Michelle Henry,61,Female,Current,38998.53,25-02-2025,Debit,895.26,
CUST1063,Jonathan Clayton,66,Female,Fixed Deposit,53800.93,05-06-2024,Debit,18661.68,
CUST1030,Michelle Henry,61,Female,Fixed Deposit,93853.12,30-09-2023,Debit,11105.78,
CUST1092,Suzanne Mcconnell,24,Male,Savings,73862.17,25-12-2024,Debit,12099.75,
CUST1080,Tammy Wallace,19,Female,Fixed Deposit,9391.18,30-06-2025,Credit,2072.05,
CUST1082,Adrienne West,22,Male,Loan,28152.92,18-04-2024,Credit,19890.91,Default
CUST1086,Rebekah Brooks,69,Male,Current,82740.1,03-12-2023,Credit,1186.34,
CUST1085,Roberto Hill,63,Female,Savings,62617.84,24-02-2024,Debit,14095.4,
CUST1017,Robert Jones,54,Female,Current,85632.97,26-03-2025,Debit,2075.21,
CUST1097,Daniel Sparks,49,Female,Savings,95714.21,25-12-2023,Debit,12340.23,
CUST1088,Eric Thomas,49,Male,Loan,56602.77,05-08-2024,Credit,6112.46,Closed
CUST1002,Donna Gordon MD,22,Female,Current,5404.83,05-10-2023,Credit,10597.98,
CUST1053,Tammy Noble,55,Female,Current,47071.76,09-04-2024,Debit,19124.94,
CUST1094,Joanna Sims,20,Female,Savings,55866.08,28-04-2025,Debit,4089.31,
CUST1065,Patricia Baker,49,Male,Fixed Deposit,1002.04,18-03-2024,Credit,2176.91,
CUST1051,Wendy Lowery,36,Female,Fixed Deposit,80682.16,23-03-2025,Debit,9780.48,
CUST1030,Michelle Henry,61,Female,Loan,46966.71,13-06-2024,Credit,13966.32,Default
CUST1064,Evan Peterson,53,Male,Savings,47497.31,25-05-2025,Debit,11157.6,
CUST1063,Jonathan Clayton,66,Female,Fixed Deposit,83894.36,12-10-2024,Debit,9604.7,
CUST1067,Kelly Murphy,41,Female,Loan,24487.6,21-05-2024,Credit,8618.44,Default
CUST1012,Shannon Garcia,46,Female,Savings,10126.57,24-12-2023,Credit,2161.54,
CUST1032,Christine Brown,39,Male,Fixed Deposit,23636.31,04-03-2024,Credit,12010.59,
CUST1067,Kelly Murphy,41,Female,Loan,50957.01,06-04-2024,Debit,11428.3,Default
CUST1015,Bonnie Chavez,48,Female,Loan,10311.24,13-04-2024,Debit,10528.88,Closed
CUST1069,Robert Vasquez,42,Male,Current,78827.37,11-09-2024,Credit,1055.7,
CUST1006,Ryan Walker,25,Female,Savings,18472.7,09-12-2023,Credit,8498.83,
CUST1099,Madison Ramos,54,Female,Savings,65180.92,08-09-2025,Debit,2879.38,
CUST1015,Bonnie Chavez,48,Female,Fixed Deposit,66896.96,02-01-2025,Debit,5573.57,
CUST1053,Tammy Noble,55,Female,Loan,60233.88,22-08-2025,Credit,15538.55,Active
CUST1006,Ryan Walker,25,Female,Savings,60155.25,26-02-2025,Debit,4328.83,
CUST1038,Pamela Carlson,64,Female,Fixed Deposit,46958.63,29-09-2024,Credit,1135.96,
CUST1091,Elizabeth Mitchell,25,Male,Loan,83057.42,17-11-2024,Debit,1527.56,Default
CUST1095,Sheena Jackson,28,Male,Fixed Deposit,38765.1,22-12-2024,Debit,712.97,
CUST1087,Willie Elliott,51,Female,Loan,58975.06,12-02-2025,Debit,12338.72,Active
CUST1055,Lori Sutton,58,Male,Savings,59256.82,06-12-2023,Credit,3865.95,
CUST1013,Jose Carrillo,59,Male,Loan,10569.9,06-07-2024,Credit,17254.87,Closed
CUST1005,Charles Anderson,18,Male,Current,93381.92,03-06-2024,Debit,17476.55,
CUST1087,Willie Elliott,51,Female,Fixed Deposit,79263.98,10-01-2024,Debit,17777.02,
CUST1097,Daniel Sparks,49,Female,Savings,71415.54,26-10-2024,Debit,4689.93,
CUST1029,Jessica Carey,68,Male,Savings,33864.5,30-07-2025,Debit,5607.78,
CUST1048,Amanda Brown,59,Female,Savings,70411.24,05-02-2025,Credit,19548.06,
CUST1098,Amanda Goodman,31,Female,Fixed Deposit,54630.22,02-03-2024,Credit,569.7,
CUST1023,Sean Edwards,56,Male,Loan,83396.96,02-02-2024,Credit,19568.97,Closed
CUST1070,Randy Martinez,55,Male,Savings,13364.29,30-01-2025,Debit,14462.22,
CUST1074,Kenneth Smith,27,Male,Loan,98549.95,26-01-2024,Debit,9822.51,Default
CUST1084,Douglas Gomez,62,Male,Fixed Deposit,65273.7,17-07-2025,Debit,14163.87,
CUST1028,Mitchell Wilson,35,Male,Loan,99682.61,24-01-2025,Debit,7247.61,Closed
CUST1042,Dr. Victoria Maddox,56,Male,Fixed Deposit,15912.62,24-07-2024,Credit,1889.59,
CUST1072,Zachary Villanueva,49,Male,Fixed Deposit,97415.06,08-11-2023,Debit,19452.89,
CUST1020,Jennifer Shaw,46,Male,Savings,33582.3,08-06-2025,Credit,11054.64,
CUST1082,Adrienne West,22,Male,Fixed Deposit,87618.67,30-03-2025,Debit,16395.4,
CUST1071,Latoya Bailey,18,Male,Fixed Deposit,85604.32,24-10-2024,Credit,4735.57,
CUST1030,Michelle Henry,61,Female,Fixed Deposit,51595.4,01-05-2025,Debit,13421.61,
CUST1029,Jessica Carey,68,Male,Loan,21853.35,15-02-2025,Debit,3222.41,Active
CUST1078,Denise Miller,22,Male,Fixed Deposit,30039.76,08-09-2024,Debit,7278.96,
CUST1084,Douglas Gomez,62,Male,Loan,37188.78,10-12-2023,Credit,13878.98,Active
CUST1019,Pamela Kelly,31,Female,Loan,75368.2,11-03-2025,Debit,5819.42,Active
CUST1015,Bonnie Chavez,48,Female,Loan,11273.84,04-01-2024,Debit,8609.99,Active
CUST1100,Matthew Howe,19,Male,Savings,19068.29,28-05-2024,Debit,9600.78,
CUST1100,Matthew Howe,19,Male,Current,97682.05,24-07-2025,Credit,13735.08,
CUST1022,Karla Tucker,35,Male,Loan,44886.31,30-07-2024,Credit,17372.58,Default
CUST1002,Donna Gordon MD,22,Female,Fixed Deposit,95395.04,21-09-2024,Debit,10161.68,
CUST1023,Sean Edwards,56,Male,Savings,67429.09,17-04-2024,Debit,3763.45,
CUST1086,Rebekah Brooks,69,Male,Current,39464.99,07-09-2024,Debit,1721.26,
CUST1037,Molly Austin,40,Female,Fixed Deposit,44526.76,08-10-2024,Credit,6420.78,
CUST1061,James Patton,41,Female,Savings,15408,20-12-2024,Debit,16033.38,
CUST1078,Denise Miller,22,Male,Loan,13523.35,05-07-2025,Debit,19831.88,Default
CUST1022,Karla Tucker,35,Male,Savings,7063.36,09-06-2025,Debit,8819.47,
CUST1051,Wendy Lowery,36,Female,Fixed Deposit,44446.08,11-03-2024,Debit,8324.82,
CUST1099,Madison Ramos,54,Female,Savings,58716.49,27-05-2024,Credit,18566.35,
CUST1023,Sean Edwards,56,Male,Loan,89211.57,16-04-2025,Credit,7540.6,Active
CUST1097,Daniel Sparks,49,Female,Savings,62586.22,06-07-2025,Credit,1825.8,
CUST1097,Daniel Sparks,49,Female,Loan,43886.62,19-09-2024,Debit,18063.47,Default
CUST1011,Charles Bates,45,Male,Loan,74040.26,23-05-2024,Debit,19071.09,Default
CUST1040,Jamie Gomez,18,Female,Savings,76402.73,29-04-2024,Debit,2284.56,
CUST1098,Amanda Goodman,31,Female,Current,93628.29,14-03-2025,Credit,13034.17,
CUST1021,Gregory Copeland,50,Male,Loan,21333.77,29-10-2024,Debit,16277.4,Active
CUST1073,Brittany Coleman,28,Female,Fixed Deposit,82392.5,19-02-2025,Credit,3434.83,
CUST1016,John Martinez,21,Male,Fixed Deposit,21484.37,20-04-2024,Credit,16006.01,
CUST1061,James Patton,41,Female,Fixed Deposit,1201.41,21-08-2025,Credit,18339.67,
CUST1070,Randy Martinez,55,Male,Savings,44189.76,12-04-2025,Debit,17011.81,
CUST1047,Omar Williams,47,Female,Current,92216.94,09-09-2024,Credit,19184.14,
CUST1024,Barbara Brewer,52,Male,Fixed Deposit,54515.22,30-01-2024,Credit,7767.74,
CUST1009,Lauren Jackson,37,Male,Loan,38281.95,02-07-2025,Credit,12774.26,Default
CUST1096,Kyle Kramer,56,Male,Loan,69832.59,04-03-2025,Credit,19633.13,Default
CUST1070,Randy Martinez,55,Male,Savings,68486.78,17-05-2025,Credit,12288.85,
CUST1095,Sheena Jackson,28,Male,Current,73442.22,05-06-2025,Debit,11021.34,
CUST1041,Leonard Craig,35,Male,Fixed Deposit,60828.34,26-07-2024,Credit,8403.72,
CUST1041,Leonard Craig,35,Male,Fixed Deposit,83580.04,28-11-2024,Debit,8382.51,
CUST1010,Amanda Beck,66,Female,Loan,32701.04,10-05-2024,Credit,18214.85,Default
CUST1007,Anthony Ware,63,Female,Savings,28167.57,24-03-2025,Credit,16538.66,
CUST1033,Jennifer Watson,56,Female,Loan,32275.26,23-07-2024,Debit,1620.16,Closed
CUST1074,Kenneth Smith,27,Male,Fixed Deposit,14880.17,21-01-2024,Credit,2400.05,
CUST1026,Joseph Lopez,48,Male,Fixed Deposit,17746.44,26-12-2023,Credit,1355.11,
CUST1083,Rachel Ayala,20,Male,Savings,33750.11,20-05-2025,Debit,6164.11,
CUST1010,Amanda Beck,66,Female,Fixed Deposit,1861.65,15-04-2024,Credit,8295.35,
CUST1033,Jennifer Watson,56,Female,Loan,2769.54,26-08-2025,Debit,19193.09,Closed
CUST1098,Amanda Goodman,31,Female,Savings,53306.31,24-01-2024,Debit,15708.93,
CUST1048,Amanda Brown,59,Female,Current,16247.1,11-08-2024,Credit,1745.55,
CUST1082,Adrienne West,22,Male,Savings,49758.49,21-08-2025,Credit,12983.42,
CUST1065,Patricia Baker,49,Male,Fixed Deposit,76150.01,01-11-2023,Debit,13344.83,
CUST1013,Jose Carrillo,59,Male,Fixed Deposit,22294.82,12-11-2023,Credit,18532.73,
CUST1017,Robert Jones,54,Female,Current,64642.99,20-10-2023,Credit,6277.95,
CUST1005,Charles Anderson,18,Male,Current,40397.62,21-04-2024,Debit,15701.47,
CUST1049,Timothy Booth,38,Male,Fixed Deposit,44779.61,21-05-2024,Credit,19237.19,
CUST1003,Jonathan Peck,65,Male,Loan,3579.55,13-01-2024,Debit,3030.43,Default
CUST1086,Rebekah Brooks,69,Male,Loan,16091.79,19-06-2024,Debit,2828.68,Default
CUST1059,Michael Thomas MD,51,Male,Current,84692.3,25-07-2025,Credit,1742.63,
CUST1044,Sylvia Mcpherson,36,Female,Current,31754.87,13-12-2024,Debit,5026.79,
CUST1065,Patricia Baker,49,Male,Loan,34251.92,20-10-2023,Debit,8603.79,Default
CUST1076,Jordan Hicks,36,Female,Savings,50708.49,13-07-2024,Debit,6465.67,
CUST1083,Rachel Ayala,20,Male,Savings,64561,02-08-2025,Debit,1322.68,
CUST1099,Madison Ramos,54,Female,Savings,38831.38,12-03-2025,Credit,17475.58,
CUST1098,Amanda Goodman,31,Female,Savings,55922.75,12-08-2025,Debit,18399.86,
CUST1100,Matthew Howe,19,Male,Current,28390.91,24-06-2024,Credit,5765.15,
CUST1078,Denise Miller,22,Male,Fixed Deposit,12843.91,20-07-2025,Credit,8207.21,
CUST1021,Gregory Copeland,50,Male,Current,66010.83,16-01-2025,Debit,12966.29,
CUST1013,Jose Carrillo,59,Male,Current,65345.08,14-04-2024,Debit,2049.87,
CUST1014,Carmen Patterson,18,Male,Current,6404.55,03-11-2023,Credit,12957.45,
CUST1035,Theresa Lara,54,Female,Current,49957.44,30-11-2023,Debit,9665.19,
CUST1007,Anthony Ware,63,Female,Fixed Deposit,79412.96,02-10-2023,Debit,10726.29,
CUST1025,Dwayne Decker,35,Female,Savings,74149.14,25-09-2023,Debit,9137.99,
CUST1033,Jennifer Watson,56,Female,Fixed Deposit,19637.54,07-03-2025,Credit,14137.67,
CUST1014,Carmen Patterson,18,Male,Fixed Deposit,97612.52,25-06-2025,Debit,6215.84,
CUST1031,Gary Hill,50,Female,Savings,42333.9,08-06-2024,Debit,8106.83,
CUST1089,Victoria Harris,52,Female,Savings,80413.72,15-04-2024,Debit,15480.94,
CUST1039,Walter Thomas,49,Male,Savings,94028.46,07-02-2024,Debit,4941.46,
CUST1044,Sylvia Mcpherson,36,Female,Current,36493.75,07-12-2024,Debit,3629.4,
CUST1068,Timothy Mitchell,42,Female,Loan,87194.08,08-05-2025,Credit,12238.04,Closed
CUST1091,Elizabeth Mitchell,25,Male,Current,83105.68,01-10-2024,Credit,15086.13,
